model_name,feature_set,auc_val,ks_val,aucpr_val,auc_oot,ks_oot,aucpr_oot
xgboost,top_10,0.9138025890583787,0.6947595620508368,0.5927532390727339,0.8854305689633041,0.651225160497344,0.5075812304138756
lightgbm,top_10,0.9157919487620801,0.6947948477763646,0.6048654006177201,0.8886919928046548,0.6576345038957203,0.5083896084140347
xgboost,top_15,0.9163914570466102,0.6972374323161398,0.6001153750836324,0.8892904619474908,0.6475684058934308,0.5094268534163793
lightgbm,top_15,0.9149564830539669,0.6970566881681124,0.5974935458397698,0.8896949363549562,0.6533950177685638,0.5066139509708283
xgboost,top_20,0.914272124022979,0.6974717396878101,0.5970376100532807,0.8912272441933459,0.6578497312295917,0.49508090782572817
lightgbm,top_20,0.9141433247784487,0.7000322394758419,0.596454539736889,0.8917509376632009,0.6579223528708408,0.5088289059921003
xgboost,top_30,0.918169229324215,0.7043716221533431,0.607496148905507,0.8882666814371698,0.6509559504906797,0.49995053072677204
lightgbm,top_30,0.9182700094179885,0.7015778304102029,0.6099464856526507,0.8905587470393054,0.6599371198573591,0.5080090394956915
